순번,시도명,시군구명,설치위치,설치지점,쓰레기통종류,도로명주소,지번주소,위도,경도,관리기관,전화번호,데이터기준일자
104,경기도,고양시 일산서구,백병원 버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 강성로 203 앞 도로변,고양시 일산서구 대화동 2502,37.67624627,126.747765,일산서구청 환경녹지과,031-8075-7242,2025-02-24
105,경기도,고양시 일산서구,문촌마을 버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 중앙로 1493 앞 도로변,고양시 일산서구 대화동 2560,37.67094127,126.7470292,일산서구청 환경녹지과,031-8075-7242,2025-02-24
106,경기도,고양시 일산서구,문촌마을 버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 중앙로 1470 앞 도로변,고양시 일산서구 대화동 2560,37.67094127,126.7470292,일산서구청 환경녹지과,031-8075-7242,2025-02-24
107,경기도,고양시 일산서구,주엽역 버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 중앙로 1437 앞 도로변,고양시 일산서구 대화동 2560,37.67094127,126.7470292,일산서구청 환경녹지과,031-8075-7242,2025-02-24
108,경기도,고양시 일산서구,주엽역 버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 중앙로 1426 앞 도로변,고양시 일산서구 대화동 2560,37.67094127,126.7470292,일산서구청 환경녹지과,031-8075-7242,2025-02-24
109,경기도,고양시 일산서구,강선마을 버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 중앙로 1391 앞 도로변,고양시 일산서구 대화동 2560,37.67094127,126.7470292,일산서구청 환경녹지과,031-8075-7242,2025-02-24
110,경기도,고양시 일산서구,강선마을 버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 중앙로 1376 앞 도로변,고양시 일산서구 대화동 2560,37.67094127,126.7470292,일산서구청 환경녹지과,031-8075-7242,2025-02-24
111,경기도,고양시 일산서구,일산시장 택시승강장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 원일로 72 앞 도로변,고양시 일산서구 일산동 610-6,37.6863992,126.7699259,일산서구청 환경녹지과,031-8075-7242,2025-02-24
112,경기도,고양시 일산서구,일산시장 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 원일로 69 앞 도로변,고양시 일산서구 일산동 606-1,37.68676118,126.7701605,일산서구청 환경녹지과,031-8075-7242,2025-02-24
113,경기도,고양시 일산서구,탄현동행정복지센터 앞,기타(보도),"일반,재활용쓰레기수거용",경기도 고양시 일산서구 홀트로 36 앞 도로변,고양시 일산서구 탄현동 1489,37.69440155,126.7690211,일산서구청 환경녹지과,031-8075-7242,2025-02-24
114,경기도,고양시 일산서구,까뮤이스테이트 앞,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 일현로 68 앞 도로변,고양시 일산서구 탄현동 1485,37.69289762,126.7641115,일산서구청 환경녹지과,031-8075-7242,2025-02-24
115,경기도,고양시 일산서구,대화역 버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 중앙로 1573 앞 도로변,고양시 일산서구 대화동 2502,37.67601,126.746983,일산서구청 환경녹지과,031-8075-7242,2025-02-24
116,경기도,고양시 일산서구,대화역 버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 중앙로 1564 앞 도로변,고양시 일산서구 대화동 2502,37.676413,126.748129,일산서구청 환경녹지과,031-8075-7242,2025-02-24
